Accession	Gene_name	Organism	Function	Subcellular_location	Length
A0A8C0Y8Q6	NA	Cyprinus carpio carpio	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	289
A0A8C0YC83	NA	Cyprinus carpio carpio	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	300
A0A8C0YI78	NA	Cyprinus carpio carpio	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	292
A0A8C0YWV2	NA	Canis lupus familiaris	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	181
A0A8C0ZCE7	VDAC3	Cyanistes caeruleus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	284
A0A8C1A3B5	NA	Cyprinus carpio carpio	NA	Mitochondrion outer membrane	287
A0A8C1AJH2	NA	Cyprinus carpio carpio	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	309
A0A8C1AJR2	NA	Cyprinus carpio carpio	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	299
A0A8C1AJR9	NA	Cyprinus carpio carpio	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	296
A0A8C1AJW2	NA	Cyprinus carpio carpio	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	306
A0A8C1AK72	NA	Cyprinus carpio carpio	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	260
A0A8C1AKJ7	NA	Cyprinus carpio carpio	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	307
A0A8C1ALD9	NA	Cyprinus carpio carpio	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	297
A0A8C1B7U5	NA	Cyprinus carpio carpio	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	276
A0A8C1BMC5	VDAC2	Cyprinus carpio carpio	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	272
A0A8C1BSR4	VDAC2	Cyprinus carpio carpio	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	294
A0A8C1FWA1	NA	Cyprinus carpio carpio	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	282
A0A8C1FWA2	NA	Cyprinus carpio carpio	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	282
A0A8C1G2Q0	NA	Cyprinus carpio carpio	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	261
A0A8C1H2K6	NA	Cyprinus carpio carpio	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	314
A0A8C1H2L0	NA	Cyprinus carpio carpio	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	309
A0A8C1HAE8	VDAC2	Cyprinus carpio carpio	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	256
A0A8C1HLP1	NA	Cyprinus carpio carpio	NA	Mitochondrion outer membrane	318
A0A8C1IU34	NA	Cyprinus carpio	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	251
